Question,Response
ยอดเขาแปดพันเมตร คือยอดเขาสิบสี่ยอดที่มีความสูงเกินกว่า 2000 เมตรจากระดับน้ำทะเลใช่หรือไม่,ไม่ใช่
ผู้ที่ปีนยอดเขาเหล่านี้บ่อยที่สุดคือ คัวนีโต โอยาร์ซาบัล (Juanito Oiarzabal) ที่ปีนด้วยกันทั้งสิ้น 98 ครั้งระหว่าง ค.ศ. 1985 ถึง ค.ศ. 2009 ใช่หรือไม่,ไม่ใช่
ข้าวสาลีมีหลายประเภทตามปริมาณแคลเซียมใช่หรือไม่,ไม่ใช่
แป้งอ่อนตามปกติแบ่งได้เป็นแป้งเค้ก ซึ่งมีปริมาณกลูเตนสูงสุดใช่หรือไม่,ไม่ใช่
วลีความสุขมวลรวมประชาชาติ (GNH) เป็นวลีที่สมเด็จพระราชาธิบดีจิกมี ซิงเย วังชุก พระมหากษัตริย์ภูฏานพระองค์ที่สี่ทรงประดิษฐ์ในปี 2500 ใช่หรือไม่,ไม่ใช่
คณะกรรมการกฤษฎีกา เป็นคณะกรรมการกฤษฎีกาแห่งประเทศไทย ขึ้นตรงต่อรัฐมนตรีใช่หรือไม่,ไม่ใช่
"ปีเตอร์ พีเวนซี่ เป็นตัวละครหลักในนวนิยายชุดตำนานแห่งนาร์เนีย ตอน ตู้พิศวง,เจ้าชายแคสเปี้ยนโดยบีบอยอิสใช่หรือไม่",ไม่ใช่
อาร์เทอร์ได้เดินทางกลับมารับตำแหน่งศาสตราจารย์สาขาคณิตศาสตร์ เวย์แมน คราว และหัวหน้าภาควิชาฟิสิกส์มหาวิทยาลัยวอชิงตันเซนต์หลุยส์ใช่หรือไม่,ไม่ใช่
ในปี พ.ศ. 1966 อาร์เทอร์ย้ายไปทำงานที่มหาวิทยาลัยโคลอมเบีย โดยทำงานเป็นอาจารย์สอนฟิสิกส์ใช่หรือไม่,ไม่ใช่
เมื่อค.ศ. 2006 มาเธอร์ส2มาเธอร์ได้รางวัลสุขภาพชายโลกจากวิทยาลัยแพทยศาสตร์อัลเบิร์ต ไอน์สไตน์ แห่งมหาวิทยาลัยเยชีวาที่นครนิวยอร์กใช่หรือไม่,ไม่ใช่
มาเธอร์ส2มาเธอร์ส เป็นองค์กรไม่แสวงผลกำไรระหว่างประเทศที่อุทิศขึ้นเพื่อป้องกันเอชไอวีจากแม่สู่ลูก ได้ก่อตั้งขึ้นใน ค.ศ. 2009 ใช่หรือไม่,ไม่ใช่
เมตตาธรรม เป็นเพลงไทยเพื่อการกุศลที่เริ่มขึ้นในปี พ.ศ. 2528 แต่งคำร้องและทำนองโดยรพีพรใช่หรือไม่,ไม่ใช่
ครูชลธี ธารทองจึงใช้เวลา 3 วันในการเก็บข้อมูลและแรงบันดาลใจจากทั่วประเทศเพื่อแต่งเพลงเมตตาธรรมใช่หรือไม่,ไม่ใช่
เก๋งนุกิจราชบริหาร เป็นอาคารสถาปัตยกรรมจีนภายในพระราชวังบวรสถานมงคล และวัดมหาธาตุใช่หรือไม่,ไม่ใช่
เมอร์คิวรีเซเวนเป็นกลุ่มนักบินอวกาศโครงการเมอร์คิวรีเจ็ดคนที่นาซาประกาศเมื่อวันที่ 9 พฤศจิกายน ค.ศ. 1959 ใช่หรือไม่,ไม่ใช่
จอห์น เกลน อยู่ในกลุ่มนักบินอวกาศโครงการเมอร์คิวรี เป็นบุคคลอายุน้อยที่สุดที่บินในอวกาศใช่หรือไม่,ไม่ใช่
เก๋งบุปผาประพาส เป็นเก๋งไม้เต็งที่สร้างขึ้นเพื่อเป็นที่ประทับชมดอกไม้ภายในสวนใช่หรือไม่,ไม่ใช่
"เก๋งบุปผาประพาสเป็นเก๋งไม้สักขนาดเล็กที่สร้างขึ้นเมื่อวันที่ 16 มิถุนายน พ.ศ. 2424 ตามแบบสถาปัตยกรรมเอเชีย เรียกว่า ""เรือนทรงขนมปังขิง""ใช่หรือไม่",ไม่ใช่
เก้งอินโดจีน มีอีกชื่อว่า เก้งฟรีเวย์ใช่หรือไม่,ไม่ใช่
เก้งโรสเวลต์มีชื่อวิทยาศาสตร์ว่า Muntiacus rooseveltorum เป็นเก้งที่มีข้อมูลทางวิชาการหลากหลายและเยอะมาก และถูกพบตัวครั้งแรกปีพ.ศ. 2475 ใช่หรือไม่,ไม่ใช่
น้ำตกจำปาทอง อยู่ในเขตความรับผิดชอบของอุทยานแห่งชาติดอยสุเทพใช่หรือไม่,ไม่ใช่
พรรคประชามติ เป็นพรรคการเมืองที่ก่อตั้งขึ้นในวันที่ 27 กันยายน พ.ศ. 2549 ใช่หรือไม่,ไม่ใช่
อันจู เป็นเมืองแห่งหนึ่งในจังหวัดพย็องอันใต้ ประเทศเกาหลีใต้ใช่หรือไม่,ไม่ใช่
เมืองอันจู ในเกาหลีเหนือมีแม่น้ำโชเนนไหลผ่านเมืองใช่หรือไม่,ไม่ใช่
อกอสติโน ชิจิ เป็นนายธนาคารชาวอิตาเลียนในสมัยฟื้นฟูเรเนซ็องใช่หรือไม่,ไม่ใช่
"ดอกอ้อสายขวัญ เป็นละครโทรทัศน์ไทย แนวดราม่า-แอ็กชั่น-คอมเมดี นำแสดงโดย ณเดช คูกิมิยะ,หยาดทิพย์ ราชปาล ใช่หรือไม่",ไม่ใช่
ละครโทรทัศน์เรื่อง ดอกอ้อสายขวัญ ผลิตโดย บริษัท ควิซ แอนด์ เควส จำกัด และประพันธ์โดยโสภาค สุวรรณใช่หรือไม่,ไม่ใช่
ดอกบัวแดง เป็นบทประพันธ์ของคุณชาตบุษย์ จากนวนิยายได้ถูกนำมาสร้างเป็นละครโทรทัศน์โดยค่ายกันตนาใช่หรือไม่,ไม่ใช่
ตำนานการกำเนิด ดอกบัวขาว (บทประพันธ์ของคุณชาตบุษย์) มาจากเศรษฐีชายชรา ผู้มีจิตใจงดงาม เสียสละทรัพย์สินทุกอย่างให้แก่ผู้ยากไร้ใช่หรือไม่,ไม่ใช่
ดอกจิกสี่แฉก ในทางภาษาศาสตร์แปลว่า “สามใบ” ใช่หรือไม่,ไม่ใช่
ในด้านสถาปัตยกรรมหรือสัญลักษณ์ของพุทธศาสนา “ดอกจิกสี่แฉก” เป็นทรงที่เกิดจากการวางวงกลมสี่วงคาบกันบางส่วนอย่างสมมาตรใช่หรือไม่,ไม่ใช่
ดอกซ่อนชู้ เป็นละครโทรทัศน์ไทย แนวคอมมิดี้นำแสดงโดย วันชนะ สวัสดี และเก็จมณี วรรธนะสินใช่หรือไม่,ไม่ใช่
ก.ศ.ร. กุหลาบ มีนามเดิมว่า กนกนาง ตฤษณานนท์ ใช่หรือไม่,ไม่ใช่
พระเจ้าบรมวงศ์เธอ พระองค์เจ้ากินรี พระเจ้าลูกเธอในพระบาทสมเด็จพระนั่งเกล้าเจ้าอยู่หัวได้ทรงขอกุหลาบ ตฤษณานนท์ ไปเป็นภรรยาใช่หรือไม่,ไม่ใช่
กกสามเหลี่ยมใหญ่ มีชื่อวิทยาศาสตร์: Actinoscirpus grossus เป็นพืชใบเลี้ยงเดี่ยวอยู่ในวงศ์บัวกอ และมีอายุยืนหลายฤดูใช่หรือไม่,ไม่ใช่
พระแม่นีลาเทวี (Neela Devi) เป็นพระชายาองค์ที่สามของพระตรีมูรติใช่หรือไม่,ไม่ใช่
ในบทสวดพระเวทได้ปรากฏบทส่งเสด็จพระนางในบท นีลา สูกตัม (Nila Suktam) ใช่หรือไม่,ไม่ใช่
ส่วนผสมของแบเรียมซัลเฟตใช้เป็นพื้นสีดำสำหรับการผลิตสีใช่หรือไม่,ไม่ใช่
ถ้าผสมแบเรียมซัลเฟตกับออกซิเจนจะถูกเรียกว่าลิโทโพน (lithopone) ใช่หรือไม่,ไม่ใช่
โรคกล้ามเนื้อเสียการประสานงานจากแกนสมองและไขสันหลัง เป็นโรคทางพันธุกรรมโรคหนึ่งใช่หรือไม่,ไม่ใช่
โรคกล้ามเนื้อเสียการประสานงานจากสมองน้อยและไขสันหลังพบได้น้อยมากในโลกนี้ โดยมีอัตราการเกิดโรคประมาณหกคนต่อหนึ่งแสนคนใช่หรือไม่,ไม่ใช่
เจ้าฟ้าสังวาลย์ หรือ อินทสุชาเทวี บางแห่งออกพระนามว่า เจ้าฟ้าสร้อยระย้าใช่หรือไม่,ไม่ใช่
สมเด็จพระเจ้าอยู่หัวบรมโกศจึงให้นำพระศพของเจ้าฟ้าธรรมธิเบศและเจ้าฟ้าสังวาลย์ไปฝัง ณ วัดท่าการ้องใช่หรือไม่,ไม่ใช่
ยุคมืดของกัมพูชา เริ่มขึ้นหลังจากอาณาจักรอยุธยาเริ่มอ่อนแอลง ประเทศราชประกาศตัวเป็นอิสระ จนในที่สุดการล่มสลายของอาณาจักรเขมรใช่หรือไม่,ไม่ใช่
พ.ศ. 1896 ในสมัยพระเจ้าอู่ทองแห่งกรุงศรีอยุธยา อาณาจักรเขมรก็ถูกกองทัพกะเหรี่ยงนำโดยขุนหลวงพระงั่วโจมตียึดเป็นเมืองขึ้นใช่หรือไม่,ไม่ใช่
ละครโทรทัศน์เรื่อง รักปาฏิหาริย์ เป็นบทประพันธ์ของ พิลัยลักษณ์ นวาระ ใช่หรือไม่,ไม่ใช่
ประเทศเปรูมีเมืองหลวง คือเมืองบาบาโบยา และเมืองที่ใหญ่ที่สุด คือเมืองตาราโปโต,ไม่ใช่
เพจแรงก์ (PageRank) คือขั้นตอนวิธีที่ใช้การวิเคราะห์เว็บลิงก์ตามทฤษฎีเครือข่ายที่ใช้เป็นพื้นฐานในตัวเสิร์ชเอนจินของไป่ตู้ใช่หรือไม่,ไม่ใช่
เพจแรงก์ถูกพัฒนาขึ้นที่มหาวิทยาลัยออกซ์ฟอร์ด โดย แลร์รี เพจ ใช่หรือไม่,ไม่ใช่
เทีย เกรกอรี (เกิดเมื่อ 1929) เป็นนักแสดงหญิงชาวปากีสถานใช่หรือไม่,ไม่ใช่
เสนาธิการทหารอากาศ (CAS) เป็นอีกตำแหน่งของผู้บริหารระดับกลางของกองทัพอากาศสหราชอาณาจักรใช่หรือไม่,ไม่ใช่
เบตตี เพจ เป็นนางแบบชาวอินเดียที่มีชื่อเสียงในช่วงทศวรรษ 1950 ใช่หรือไม่,ไม่ใช่
เบคอน หรือ เนื้อรมควัน เป็นเนื้อสัตว์ (โดยมากมักใช้เนื้อไก่และกุ้ง) ที่นำมาหมักเค็มด้วยเกลือเป็นจำนวนมากใช่หรือไม่,ไม่ใช่
เบคอนชนิดแห้งสดมักมีการนำไปหั่นและเสิร์ฟแบบสดๆ ไม่ต้องทำให้สุกก่อนที่จะรับประทานใช่หรือไม่,ไม่ใช่
แคดเมียมคลอไรด์ เป็นสารประกอบแคดเมียมและคลอรีน มีสูตรเคมีคือ CdCl มีลักษณะเป็นผลึกสีชมพู และมีคุณสมบัติเป็นสารดูดความชื้นใช่หรือไม่,ไม่ใช่
เขตคารากา หรือ เขตบริหารคารากา หรือ เขตที่ 25 เป็นเขตหนึ่งของประเทศฟิลิปปินส์ใช่หรือไม่,ไม่ใช่
เขตคารากา ตั้งอยู่ทางภาคตะวันตกเฉียงเหนือของเกาะมินดาเนา ตั้งอยู่ระหว่าง 8 00' ถึง 10 30' ละติจูดเหนือใช่หรือไม่,ไม่ใช่
องครักษ์ เป็นเจ้าหน้าที่อารักขาพื้นฐานทั่วๆ ไปใช่หรือไม่,ไม่ใช่
เจ้าหน้าที่รักษาความปลอดภัยทำหน้าที่คุ้มครองบุคคลหรือกลุ่มบุคคลถูกเรียกว่าเทพารักษ์ใช่หรือไม่,ไม่ใช่
แคช คือส่วนของข้อมูลที่ถูกเก็บซ้ำไว้ในสมาทโฟนใช่หรือไม่,ไม่ใช่
ในกรณีที่มีคำสั่งเรียกข้อมูลและข้อมูลยังไม่หายไปจากแคช จะเรียกว่า cache  hot นั่นคือสามารถอ่านข้อมูลจากแคชได้ใช่หรือไม่,ไม่ใช่
อัครพันธบริกร คือนักบวชระดับสูงในศาสนาฮินดูใช่หรือไม่,ไม่ใช่
อัครพันธบริกรอาจมีอาณาเขตในปกครองเรียกว่าเขตอัครพันธบริกร (archdeaconry) ซึ่งเป็นเขตย่อยในปริมณฑลใช่หรือไม่,ไม่ใช่
ความอร่อย คือการที่มนุษย์รับประทานอาหารเข้าไปแล้วเกิดอาการไม่พึงพอใจในรสชาติอาหารใช่หรือไม่,ไม่ใช่
อาสนวิหารกาวายง เรียกชื่อเต็มว่า อาสนวิหารพระเยซูและนักบุญเวร็องแห่งกาวายงใช่หรือไม่,ไม่ใช่
เกาะซัลเซตต์ (Salsete) เป็นเกาะในรัฐมหาราษฏระ นอกชายฝั่งทิศตะวันออกของประเทศอินเดียใช่หรือไม่,ไม่ใช่
ชาวมราฐายึดเกาะนี้จากชาวโปรตุเกสใน ค.ศ. 139 ต่อมาอังกฤษได้เข้ายึดครองใน ค.ศ. 174 ใช่หรือไม่,ไม่ใช่
มงแซเญอร์ฌอร์ฌ อ็องรี โฌแซ็ฟ เอดัวร์ เลอแม็ทร์ เป็นบาทหลวงโรมันคาทอลิกชาวเบรารุต มีสมณศักดิ์เป็นเพรเลตใช่หรือไม่,ไม่ใช่
"บางครั้งเรียกบาทหลวงโรมันคาทอลิกชาวเบลเยียมโดยย่อด้วยชื่อตำแหน่งว่า ""คุณพี่"" หรือ ""พระคุณท่าน""",ไม่ใช่
แมนิกสตรีตพรีชเชอส์ คือวงอัลเทอร์เนทีฟร็อกจากเวลส์ ก่อตั้งวงในปี 1981 ใช่หรือไม่,ไม่ใช่
ในยุคแรก ดนตรีของ The Manics ถูกจัดไว้ในพวกพังค์-ร็อก ซึ่งการเปลี่ยนแปลงซาวน์ดนตรีต่อมาพวกเขาถูกจัดไว้ในกลุ่มป๊อบร็อกใช่หรือไม่,ไม่ใช่
เรียลกัมพูชา เป็นสกุลเงินของประเทศกัมพูชาและพม่าใช่หรือไม่,ไม่ใช่
โมเนลิซี มฮิกิซา เอ็มเยเกนี เป็นนักมวยสากลชาวอเมริกาใต้ สถิติการชก 24 ครั้ง ชนะ 21 (น็อค 8) แพ้ 3 ใช่หรือไม่,ไม่ใช่
เอเชียเน็กซต์ท็อปโมเดล ฤดูกาลที่ 2 เป็นฤดูกาลที่ 2 ของ เอเชีย เน็กซ์ ท็อป โมเดล ที่ต้องการค้นหาสุดยอดนางงามใช่หรือไม่,ไม่ใช่
ตามความเชื่อของศาสนาพุทธนิกายหินยาน สุขาวดี คือพุทธเกษตรของพระอมิตาภพุทธะ ตั้งอยู่ทางทิศตะวันตกของโลกใช่หรือไม่,ไม่ใช่
ในอมิตาภสูตรซึ่งเป็นพระสูตรมหายาน ได้พรรณนาลักษณะของสุขาวดีพุทธเกษตรไว้ว่า เป็นดินแดนที่เกิดขึ้นด้วยดอกไม้ที่งดงามของพระอมิตาภพุทธะใช่หรือไม่,ไม่ใช่
สุกียากี้ ถูกเรียกโดยย่อว่า สุกีกี้ ใช่หรือไม่,ไม่ใช่
สุกียากี้ เป็นอาหารที่ปรุงด้วยเนื้อสัตว์ เต้าหู้ ผัก วุ้นเส้น ไข่ กินกับน้ำพริกจีนใช่หรือไม่,ไม่ใช่
ราชรัฐซาแลร์โน ที่เดิมเป็นราชรัฐลอมบาร์ดที่ตั้งอยู่ทางตอนเหนือของประเทศอิตาลีในบริเวณเมืองท่าซาแลร์โนใช่หรือไม่,ไม่ใช่
สุรบถ หลีกภัย เป็นบุตรชายเพียงคนเดียวของชวน หลีกภัย นายกรัฐมนตรีคนที่ 14 ของไทยใช่หรือไม่,ไม่ใช่
"สุรบถ เป็นบุตรชายเพียงคนเดียวของนายชวน หลีกภัย โดยมักนิยมเรียกติดปากว่า ""น้องท้องฟ้า"" ใช่หรือไม่",ไม่ใช่
โยะโดะ โดะโนะ เป็นสตรีที่ทรงอำนาจในญี่ปุ่นยุคอะซุชิโมะโมะยะมะ ในฐานะหลานสาวของนาซาดะ โนะบุนะงะใช่หรือไม่,ไม่ใช่
ในสมัยจอมพล ป. พิบูลสงครามดำรงตำแหน่งนายกรัฐมนตรี เมื่อ พ.ศ. 2418 ใช่หรือไม่,ไม่ใช่
หลักกิโลเมตร หรือ หลักไมล์ เป็นเครื่องหมายอย่างหนึ่งที่กำกับด้วยตัวอักษรและตัวเลข ส่วนมากจะเป็นเสาหิน เสาปูน หรือเสาไม้เตี้ยๆ ใช่หรือไม่,ไม่ใช่
ฤทธิ เบญจฤทธิ์ เป็นนักหมากล้อมชาวไทย ผู้เคยครองตำแหน่งอันดับ 7 ของโลกในระดับเยาวชนใช่หรือไม่,ไม่ใช่
โครงการอีเด็น คือกลุ่มอาคารเกี่ยวกับสถาปัตยกรรมสมัยใหม่ขนาดใหญ่ ที่ตั้งอยู่ในคอร์นวอล สหราชอาณาจักรใช่หรือไม่,ไม่ใช่
ระบบนิเวศเขตร้อนชื้น ซึ่งเป็นเสมือนกระถางดินสำหรับเพาะปลูกพืชที่ใหญ่ที่สุดในโลกใช่หรือไม่,ไม่ใช่
แขวงเอโดงาวะ เป็น 1 ใน 23 แขวงการปกครองพิเศษของมหานครโอซาก้า ประเทศญี่ปุ่นใช่หรือไม่,ไม่ใช่
เหง้าน้ำทิพย์หรือยางขน เป็นไม้ยืนต้นในวงศ์ Ericaceae เป็นไม้ที่มักเกาะตามต้นไม้ใหญ่ใช่หรือไม่,ไม่ใช่
เหง้าน้ำทิพย์ หรือ ยางขนถูกพบครั้งแรกโดยหมอคาร์ ชาวสก็อตแลนด์เมื่อ 12 ธันวาคม พ.ศ. 2467 ที่ภูกระดึงใช่หรือไม่,ไม่ใช่
ฟาโรห์อันดาเมร ได้ถูกกล่าวถึงในปาแลร์โมสโตน ว่าเป็นกษัตริย์อียิปต์ในช่วงยุคก่อนราชวงศ์ เป็นผู้ปกครองในอียิปต์ล่างใช่หรือไม่,ไม่ใช่
"เหรียญ ""สำหรับการยึดนครเคอนิจส์แบร์ก"" เป็นเหรียญที่ระลึกจากการสู้รบในยุทธการที่เคอนิจส์แบร์กในช่วงแนวรบด้านตะวันตกใช่หรือไม่",ไม่ใช่
"ลักษณะของเหรียญ คือเป็นรูปวงกลมขนาด 2 มิลลิเมตร ในขอบบนมีดาวห้าแฉกที่ฉายแสง ส่วนล่างมีอักษรเขียนว่า""สำหรับการยึดนครเคอนิจส์แบร์ก""ใช่หรือไม่",ไม่ใช่
เกด หรือ ราชายตนะ เป็นพันธุ์ไม้มงคลพระราชทานและดอกไม้ประจำจังหวัดเพชรบุรีใช่หรือไม่,ไม่ใช่
ในประเทศไทยพบต้นราชายตนะในภาคตะวันตก ภาคตะวันออก และภาคเหนือ ซึ่งขึ้นกระจัดกระจายในป่าดิบใช่หรือไม่,ไม่ใช่
พัดรอง คือพัดหรือตาลปัตรที่พระมหากษัตริย์โปรดเกล้าฯ ให้สร้างขึ้นถวายแก่พระสงฆ์เป็นที่ระลึกในการพระราชพิธีสำคัญใช่หรือไม่,ไม่ใช่
พัดรอง โดยทั่วไปจะมีรูปเป็นพัดหน้านาง (เหมือนพัดยศ) คือเป็นรูปไข่คล้ายไข่ไก่หรือไข่เป็ด ปักลวดลายและอักษรตามต้องการใช่หรือไม่,ไม่ใช่
ขิงญี่ปุ่น หรือ เมียวงะ เป็นพืชอายุหลายปีที่เป็นไม้ล้มลุก ผลัดใบ เป็นพืชพื้นเมืองของเกาหลี จีน และตอนใต้ของฮ่องกงใช่หรือไม่,ไม่ใช่
ขิงญี่ปุ่นชอบที่ร่มแสงแดดรำไร ทนความหนาวเย็นได้ -1 องศาเซลเซียส,ไม่ใช่
เรือนขนมปังขิง เป็นชื่อเรียกอาคารประเภทหนึ่ง ซึ่งได้รับอิทธิพลจากสถาปัตยกรรมแบบจีนใช่หรือไม่,ไม่ใช่
ขนมปังขิง เป็นของชาวเอเชีย ซึ่งตกแต่งลวดลายสวยงาม มีลักษณะหงิกงอเป็นแง่งคล้ายขิง จึงใช้เป็นคำเรียกลวดลายทางสถาปัตยกรรมอย่างหนึ่งใช่หรือไม่,ไม่ใช่
ปลาฟันสุนัข เป็นสกุลของปลาน้ำจืดสกุลหนึ่ง ใช้ชื่อสกุลว่า Hydrolycus ใช่หรือไม่,ไม่ใช่
"lycus (Λύκος) หมายถึง ""สุนัข"" หรือ ""ม้าป่า"" ใช่หรือไม่",ไม่ใช่
ฮิระงะนะเขียนว่า と มีที่มาจากตัวพิมพ์สวยของมันโยงะนะ 止 ใช่หรือไม่,ไม่ใช่
ในการจัดลำดับอักษรปัจจุบัน ส่วนการจัดลำดับแบบอิโระฮะ と เป็นอักษรลำดับที่ 8 อยู่ระหว่าง へ (เฮะ) กับ ち (ชิ) ใช่หรือไม่,ไม่ใช่
ไพ่ มีลักษณะเป็นชิ้นกระดาษหนา กระดาษแข็งบาง กระดาษเคลือบพลาสติก กระดาษผสมฝ้าย พลาสติกหนาซึ่งเตรียมมาเป็นพิเศษใช่หรือไม่,ไม่ใช่
ด้านหลังไพ่แต่ละใบในสำรับเดียวกันจะเหมือนกันทุกใบ และมักมีสีเดียวหรือมีการออกแบบไม่เป็นทางการใช่หรือไม่,ไม่ใช่
สมเด็จพระอริยวงศาคตญาณ สมเด็จพระสังฆราช สกลมหาสังฆปริณายก พระนามเดิม อรัญญา ประสัตถพงศ์ ใช่หรือไม่,ไม่ใช่
อำเภอเมืองบุรีรัมย์ตั้งอยู่ทางตอนกลางของจังหวัดบุรีรัมย์ โดยทิศตะวันตกติดกับอำเภอลำปลายบางใช่หรือไม่,ไม่ใช่
ยศสำหรับข้าราชการทหารและพลเรือนของสยามในสมัยรัชกาลที่ 5 ถึงสมัยรัชกาลที่ 8 เริ่มมีการพระราชทานครั้งแรกในปี พ.ศ. 2417 ใช่หรือไม่,ไม่ใช่
ในสมัยรัชกาลที่ 7 มีการปฏิรูปกองทัพให้มีขนาดเพิ่มมากขึ้น กำเนิดกรมทหารเรือ มีการเปลี่ยนคำทับศัพท์ยศทหารให้เป็นภาษาไทยใช่หรือไม่,ไม่ใช่
สถาปัตยกรรมพื้นถิ่น เป็นสิ่งก่อสร้างต่างๆ ที่มนุษย์สร้างขึ้นในแต่ละท้องถิ่นที่มีลักษณะแตกต่างกันไปตามแนวคิดของกลุ่มพื้นถิ่นในแต่ละพื้นที่ใช่หรือไม่,ไม่ใช่
"ภาษาโอรังเซอเลตาร์ มีผู้พูดทั้งหมดราว 88,000 คนใช่หรือไม่",ไม่ใช่
อายะตุลลอหฺ อัซซิซตานีย์ ได้เริ่มสอนวิชาฟิกหฺ อุศูลในระดับสูงเมื่อมีอายุกว่า 80 ปีใช่หรือไม่,ไม่ใช่
ซุคฮอย ซู-30 () (นาโต้ใช้ชื่อรหัสว่าแฟลงเกอร์-ซี) เป็นรถถังทางทหารสองเครื่องยนต์ที่สร้างโดยบริษัทการบินซุคฮอยของรัสเซียใช่หรือไม่,ไม่ใช่
เครื่องบินซุคฮอย ซู-30 มีเครื่องยนต์เทอร์โบแฟนแซทเทิร์น เอแอล-31เอฟพร้อมสันดาปหน้าสองเครื่องยนต์ใช่หรือไม่,ไม่ใช่
เสม็ดขาว เป็นไม้ยืนต้นขนาดเล็ก-ใหญ่ สูง 1 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกลม ใบอ่อนสีแดง เปลือกสีน้ำตาลแดงใช่หรือไม่,ไม่ใช่
แคแทบอลิซึม เป็นกลุ่มวิถีเมแทบอลิซึมซึ่งสลายโมเลกุลเป็นหน่วยขนาดใหญ่และปลดปล่อยพลังงานใช่หรือไม่,ไม่ใช่
การศึกษาหนึ่งพบว่า การจัดการเอพิเนฟริน (อะดรีนาลิน) มีผลยับยั้งการสลายไขมันใช่หรือไม่,ไม่ใช่
พุทธศักราช 2558 ตรงกับปีคริสต์ศักราช 1915 เป็นปีปกติสุรทินที่วันแรกเป็นวันศุกร์ ตามปฏิทินเกรกอเรียนใช่หรือไม่,ไม่ใช่
บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน) มีชื่อย่อคือ AROWSROW ใช่หรือไม่,ไม่ใช่
หยกเลือดมังกร เป็นละครโทรทัศน์ไทยจากบทประพันธ์ของวาณิช จรุงกิจอนันต์ ถูกสร้างครั้งแรกเมื่อปี พ.ศ. 2555 ใช่หรือไม่,ไม่ใช่
สมเด็จพระอริยวงศาคตญาณ เป็นราชทินนามของสมเด็จพระราชาคณะ ที่พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวทรงสถาปนาขึ้นใช่หรือไม่,ไม่ใช่
"ชื่อของสมเด็จพระอริยวงศาคตญาณถูกปรับจากราชทินนาม ""สมเด็จพระอริยะวงกต"" ใช่หรือไม่",ไม่ใช่
สถานีรถไฟศรีสะเกษ เป็นสถานี ระดับสถานีชั้น 1 มีระยะทางจากกรุงเทพถึงสถานีศรีสะเกษ คือ 3515 กิโลเมตร,ไม่ใช่
มักซีมีเลียน ฟิลิปป์ เป็นนักฟุตบอลอาชีพชาวสวิสเซอร์แลนด์ ที่ลงเล่นในตำแหน่งกองหน้าให้กับโบรุสเซียดอร์ทมุนด์ในบุนเดสลีกาใช่หรือไม่,ไม่ใช่
ไซเบอร์สเปซ หรือ ปริภูมิไซเบอร์ เป็นภาวะนามธรรมเชิงอุปลักษณ์ ใช้ในด้านสังคมวิทยา หรือ คอมพิวเตอร์ใช่หรือไม่,ไม่ใช่
มีการนำไซเบอร์สเปซ มาใช้เฉพาะในหน่วยงานราชการ โดยเป็นเหมือนกลุ่มคน หรือสมาคมหนึ่งที่มีการเชื่อมต่อทางระบบอินเทอร์เน็ตผ่านทางไซเบอร์สเปซใช่หรือไม่,ไม่ใช่
หมันทะเล เป็นไม้ล้มลุกในวงศ์ Boraginaceae พบตั้งแต่ แอฟริกา เอเชียใต้ใช่หรือไม่,ไม่ใช่
ภาพยนตร์การ์ตูนโทรทัศน์เรื่องกินทามะ° สร้างขึ้นจากผลงานมียะเรื่องกินทามะของฮิเดอากิ โซราจิใช่หรือไม่,ไม่ใช่
"ภาพยนตร์การ์ตูนโทรทัศน์เรื่องกินบามะตะ° มีเพลงเปิด - ""DAYxDAY"" ขับร้องโดยวง BLUE ENCOUNT (ตอนที่ 266 - 277) ใช่หรือไม่",ไม่ใช่
มะหะหมัด เป็นนามศาสดาของศาสนาฮินดูใช่หรือไม่,ไม่ใช่
เอวันส์วิลล์ไอซ์เม็น เป็นทีมสเก็ตน้ำแข็งของลีกขนาดเล็กในศึกอีซีเอชแอลจากเมืองเอวันส์วิลล์ใช่หรือไม่,ไม่ใช่
ทีมไอซ์เม็นเคยเป็นที่รู้จักกันในชื่อมัสกีกอนฟิวรีตั้งแต่ปี ค.ศ. 1992 ถึง 2018 ใช่หรือไม่,ไม่ใช่
เฟาสต์ เป็นตัวเอกในตำนานโศกนาฏกรรมของเดนมาร์ก เกี่ยวกับชายที่ขายวิญญาณให้ปิศาจเมฟิสโตฟิลีส (Mephistopheles) เพื่อแลกกับความรู้ใช่หรือไม่,ไม่ใช่
โศกนาฏกรรมของเยอรมันมีตัวละครเอกชื่อ เฟาสต์ ตอนที่ 1 ตีพิมพ์ ค.ศ. 1808 ใช่หรือไม่,ไม่ใช่
มิตซูบิชิ เอฟ-2 เครื่องบินรบหลากบทบาท ที่ผลิตโดย บริษัท มิตซูบิชิ เฮวี่ อินดัสทรีย์ส ของไต้หวัน ร่วมกับ ล็อกฮีด มาร์ติน ของสหรัฐอเมริกาใช่หรือไม่,ไม่ใช่
ทาร์ดิกราดา หรือ ทาร์ดิเกรด เป็นชื่อสามัญของหมาน้ำ (Waterbears) ใช่หรือไม่,ไม่ใช่
หมีน้ำถูกค้นพบครั้งแรกโดย โยฮานน์ ออกุสต์ อิปพาเรียม เกิทเซอ นักวิทยาศาสตรชาวเยอรมัน ในปี ค.ศ. 177 ใช่หรือไม่,ไม่ใช่
